,COMPOUND_NAME,SACRI_PERIOD,DOSE_LEVEL,RBC(x10_4/ul),Hb(g/dL),Ht(%),MCV(fL),MCH(pg),MCHC(%),Ret(%),Plat(x10_4/uL),WBC(x10_2/uL),Neu(%),Eos(%),Bas(%),Mono(%),Lym(%),PT(s),APTT(s),Fbg(mg/dL),ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
6887,allyl alcohol,15 day,Middle,816.06354,9.484504,46.235603,62.075733,22.408382,38.586178,14.661067,117.56818,124.41287,56.33797,1.9629636,0.6779725,15.1095295,47.97675,21.216158,30.042425,676.1696,1953.325,316.94623,386.68335,327.2165,0.70652354,1.6236713,301.63263,110.26847,0.8656756,139.67986,4.7984157,109.77916,8.801169,6.371467,6.2573886,2.9990163,1.5839745,622.45544,232.8062,874.7558,10.064299
6888,imipramine,15 day,High,570.9677,10.163209,33.885525,67.10945,22.244345,40.825058,28.125523,191.06293,304.24857,42.13504,2.221742,1.0270361,25.24224,49.461952,33.050583,46.01757,405.82602,2656.0208,317.28754,454.8193,537.98627,3.4541345,3.3704095,252.04593,97.28294,0.814728,138.43658,5.2594733,103.76753,10.537129,9.856552,5.5544267,3.3232987,1.9127767,917.614,249.48357,958.1372,19.23222
6889,nifedipine,15 day,Middle,581.23596,9.705877,33.769108,66.35126,22.529085,40.18335,27.149675,191.43274,277.976,43.551575,2.430563,1.0113833,23.316162,51.597786,33.08907,48.36075,432.14523,2620.0222,345.9806,421.76712,562.14276,3.1344094,3.2712934,262.09824,107.65864,0.85530704,139.3254,5.3876557,104.08764,10.280277,9.82631,5.543368,3.0945146,1.8780477,882.72675,256.73654,1017.5504,18.85912
6890,hydroxyzine,15 day,High,558.45013,10.43798,34.09336,67.61854,22.104387,41.272015,29.585838,187.42963,329.83063,41.73288,2.0376925,1.026344,27.507193,47.983208,32.694996,43.868496,366.7126,2702.0505,288.09457,489.8391,499.7916,3.731393,3.4133403,243.89297,88.612366,0.74407244,137.50635,5.1813097,103.614006,10.775856,9.772961,5.601596,3.5226073,1.940031,964.7441,244.52019,888.9242,19.667767
6891,allopurinol,8 day,Low,785.8414,9.471451,44.909374,62.544346,22.45511,38.785187,16.135662,128.92291,139.88379,55.077057,2.1030908,0.7207812,15.914108,48.591602,22.694696,32.283707,651.3365,2034.2378,324.33304,396.43445,359.12567,0.87399435,1.7387605,298.93262,111.76459,0.8690513,139.67618,4.862074,109.18901,8.975644,6.7617846,6.170276,2.9877217,1.6131331,641.58014,235.68965,900.1726,10.96159
6892,nitrofurazone,29 day,High,784.9562,9.492128,44.79471,62.505737,22.45086,38.790104,16.214321,129.49104,141.80925,54.99567,2.1175082,0.7235228,15.948597,48.683273,22.655869,32.442574,649.64453,2036.9895,325.42996,397.78165,358.75012,0.8725388,1.7419533,298.77167,112.74526,0.86638933,139.68927,4.871723,109.180565,8.979214,6.792471,6.1676073,2.9758198,1.610453,642.55035,235.79929,901.0555,10.945509
6893,isoniazid,15 day,Low,796.8971,9.506503,45.42219,62.459457,22.478695,38.73894,15.576461,124.56238,134.87918,55.20434,2.0475476,0.70636654,15.626322,48.410107,22.06043,31.360867,659.98157,2009.6249,323.02908,392.34106,347.01074,0.80509406,1.6951178,300.10846,112.00897,0.8650221,139.71469,4.8342066,109.43508,8.900423,6.64507,6.2036757,2.992316,1.5957865,636.8513,234.06012,890.5991,10.59358
6894,ciprofloxacin,29 day,High,573.39594,10.038542,33.822052,66.90521,22.302526,40.609135,27.873545,190.92796,297.03403,42.46743,2.2823336,1.0279703,24.728144,50.28347,33.1524,46.544956,414.5615,2642.113,325.7365,447.39847,544.2611,3.364539,3.35089,254.31938,100.197495,0.8292751,138.69975,5.292502,103.873695,10.459692,9.851575,5.549532,3.2523587,1.9085333,904.6612,250.60498,975.58374,19.055172
6895,quinidine,15 day,High,557.4832,10.390928,34.048676,67.65201,22.118492,41.26606,29.287062,187.64848,327.7752,41.54046,2.0481782,1.0259651,27.322401,48.132145,32.780064,43.94593,372.68417,2700.076,289.45517,484.824,502.19257,3.7089593,3.4017766,244.5914,89.8076,0.75179213,137.64473,5.1740417,103.57494,10.755446,9.771279,5.5940766,3.5114279,1.9393166,960.9067,244.36533,892.59015,19.617535
6896,indomethacin,29 day,Low,571.586,10.065074,33.85918,66.93475,22.297234,40.591637,27.977312,190.83229,299.15338,42.48586,2.2732744,1.0236293,24.826984,50.035767,33.160576,46.353703,410.69623,2647.4668,323.39853,451.05377,542.8816,3.383115,3.3465147,253.83159,99.11123,0.82376003,138.59366,5.297931,103.88732,10.48408,9.869921,5.5552816,3.2648253,1.9073156,908.90985,250.6744,969.03406,19.104837
6897,chlormadinone,15 day,High,554.32526,10.528353,34.06141,67.86945,22.05084,41.455288,29.707186,187.76022,334.72067,41.40577,1.9849803,1.030021,28.040356,47.42643,32.581547,43.406036,360.49832,2711.5947,280.33173,497.84485,491.4721,3.8111687,3.4070804,241.83879,86.78796,0.7269868,137.298,5.1544414,103.574715,10.833032,9.77335,5.6093946,3.5832338,1.9487056,974.8668,242.22028,865.93585,19.800861
6898,"2,4-dinitrophenol",15 day,High,801.15405,9.489655,45.549618,62.397,22.462883,38.755867,15.401289,123.96334,133.70331,55.616085,2.0346823,0.70237345,15.501982,48.29713,21.890085,31.255905,663.67865,1996.7695,320.21616,392.60352,343.29367,0.78371006,1.6761569,300.94568,111.77031,0.8667599,139.72928,4.826651,109.49273,8.894931,6.6074824,6.2145386,2.9973972,1.5952224,635.1878,233.38017,883.1975,10.5507965
6899,fluoxetine hydrochloride,8 day,Middle,580.9055,9.233901,33.77025,65.50502,22.859312,39.279694,26.608192,190.25537,256.91574,45.82056,2.6236212,0.9697286,22.123539,52.678223,32.62584,49.692093,448.30054,2626.5813,362.27362,406.0256,577.17633,2.8669212,3.055644,271.91547,115.63802,0.8786734,139.75665,5.5201445,104.53933,10.092024,9.873935,5.6181746,2.9279497,1.849022,838.10645,261.0779,1056.0164,18.757877
6900,nitrosodiethylamine,15 day,Low,803.1695,9.496543,45.681942,62.343334,22.468006,38.695858,15.379898,123.23224,132.34956,55.470104,2.0244322,0.6985115,15.569819,48.127583,21.860088,31.058115,664.0438,1984.1962,320.97766,393.15082,342.73273,0.78341275,1.6705533,300.62274,110.816414,0.8655926,139.68036,4.815335,109.56582,8.882336,6.5650287,6.217844,2.9830203,1.5955827,629.7383,234.4718,891.685,10.46315
6901,phenobarbital,29 day,High,724.62476,9.355431,41.84335,62.91714,22.639437,38.789345,19.49218,148.08075,172.20123,53.541973,2.3478003,0.78758216,17.72779,50.257763,25.299063,37.290253,595.0846,2194.9204,340.44437,411.02267,422.35312,1.2704657,2.005237,294.99777,114.88364,0.86117893,139.62932,5.058016,108.04354,9.281712,7.660503,6.016283,2.9211667,1.6665196,685.51086,241.32974,951.96313,12.894996
6902,captopril,15 day,High,733.9578,9.44419,42.180355,62.98951,22.600096,38.88335,19.035276,146.4385,167.37512,53.663185,2.3267317,0.7816061,17.464165,50.094624,25.096994,36.595257,604.25165,2163.4265,340.2459,409.20074,414.0356,1.2153039,1.9786028,296.61612,114.72059,0.8612983,139.67061,5.008304,108.17539,9.250936,7.5095706,6.024773,2.9485927,1.6501234,683.44666,240.03505,941.36707,12.63737
6903,bendazac,8 day,Middle,583.3644,9.45158,33.7749,66.06148,22.632713,39.863987,26.90287,191.20903,269.93762,44.416435,2.4979386,0.99885094,22.822977,51.825947,32.778225,49.188282,436.073,2624.0132,352.92072,412.24002,569.442,3.033492,3.2059062,266.25433,110.86437,0.864256,139.57652,5.4572434,104.249825,10.202169,9.865264,5.5560718,3.0262601,1.860605,868.51965,260.77188,1029.1144,18.831549
6904,cyclophosphamide,29 day,Low,742.26215,9.398336,42.73617,62.84436,22.58104,38.839073,18.582132,143.39407,163.01237,53.996025,2.2853618,0.7743639,17.270287,49.736446,24.668118,35.907948,610.70776,2151.4512,336.15237,406.50983,403.3152,1.1519934,1.9454604,296.34088,114.258545,0.8619279,139.70996,4.9733996,108.369865,9.200168,7.3960648,6.046776,2.9414303,1.6462623,679.31555,240.95418,939.4955,12.315469
6905,clofibrate,29 day,Middle,699.0503,9.402488,40.43762,63.307034,22.71027,38.871468,21.11375,157.65062,188.0019,52.713974,2.4537349,0.81903434,18.560486,50.74105,26.600525,39.588383,570.7658,2259.15,350.4078,416.13312,449.24716,1.4856001,2.1338959,294.43973,116.750435,0.85449535,139.61922,5.122889,107.627106,9.428347,8.062595,5.940461,2.9216342,1.6796896,710.6568,244.55151,975.69196,13.834255
6906,thioacetamide,29 day,Low,807.1638,9.465648,45.8203,62.236385,22.43414,38.635143,15.142418,121.580055,129.49312,55.798176,2.0154533,0.69578755,15.328467,48.173058,21.788342,30.812012,667.38605,1957.2094,319.17258,389.93228,337.23334,0.76255864,1.6564258,300.83844,111.00509,0.8683831,139.6275,4.81038,109.561615,8.867153,6.4978104,6.219595,2.995548,1.5951964,626.35486,233.52794,884.48175,10.355775
6907,chloramphenicol,29 day,High,687.03973,9.323012,39.78639,63.300545,22.693949,38.89391,21.692892,160.63264,196.27496,52.51444,2.5275571,0.83035564,18.974329,50.793663,27.052877,40.696327,554.5063,2277.0867,351.31857,421.46436,466.31345,1.6011715,2.1902866,292.63684,116.58613,0.8548385,139.61111,5.1582346,107.29225,9.509432,8.269304,5.914607,2.8948078,1.6993504,715.86035,246.89589,994.42065,14.13731
6908,cephalothin,15 day,Low,575.72766,9.990195,33.633587,66.761055,22.325638,40.521317,27.84145,191.1133,295.10098,42.66786,2.3180873,1.0228531,24.435905,50.34625,33.1756,46.875866,416.50497,2632.1616,331.1343,444.43784,549.4306,3.3370006,3.3286142,256.97345,101.57426,0.8345584,138.75484,5.3093696,103.92059,10.455838,9.832457,5.5553927,3.2244759,1.8965211,898.41486,252.92311,981.3115,19.105686
6909,triamterene,15 day,Low,684.5282,9.336188,39.57949,63.29027,22.735271,38.894325,22.030024,161.55965,193.95416,52.49571,2.5438564,0.83565545,19.054863,51.136524,27.213585,40.763195,555.65295,2291.6653,352.9045,418.70972,468.07172,1.60142,2.196692,292.2769,116.874695,0.8576073,139.58002,5.156007,107.271545,9.510464,8.28838,5.905995,2.904033,1.694757,715.0905,245.44951,982.77234,14.269226
6910,caffeine,15 day,Middle,735.8213,9.410022,42.37638,62.890564,22.6441,38.808327,18.87513,144.61946,166.41658,53.70546,2.3164158,0.77963436,17.416609,49.88587,24.825024,36.19197,607.7976,2160.2766,339.55273,408.12964,410.43246,1.1955346,1.9734371,295.27118,114.73551,0.86520123,139.64215,5.0098,108.30661,9.219603,7.4897513,6.020777,2.9446537,1.65131,680.6792,240.64204,941.12476,12.552198
6911,carboplatin,8 day,High,801.8183,9.460381,45.654743,62.263992,22.478497,38.669113,15.33896,122.67822,131.82828,55.53657,2.0203369,0.7030058,15.464748,48.306187,21.836477,31.013807,664.02826,1983.3788,320.06534,391.29846,341.27698,0.7805819,1.6696155,299.9045,111.45359,0.8659156,139.6868,4.823587,109.521706,8.88395,6.5919046,6.209503,2.9906847,1.593579,631.43353,234.07552,886.40674,10.470386
6912,methyltestosterone,29 day,High,562.8495,10.312394,33.955685,67.53109,22.163378,41.078884,28.973299,189.14937,321.60907,41.720356,2.1075792,1.0271645,26.67317,48.46967,32.91666,44.498386,381.71732,2667.5364,299.18594,478.46506,512.3056,3.6441321,3.3949318,247.7419,92.12861,0.7702214,137.82977,5.212477,103.68792,10.693813,9.783657,5.5911756,3.455902,1.9362584,946.71515,244.36719,917.512,19.566103
6913,monocrotaline,8 day,Middle,578.23334,9.932918,33.88442,66.625595,22.414764,40.45554,27.407545,191.83397,288.1066,42.86841,2.3481038,1.0196097,24.071337,50.92734,33.18029,47.517143,424.26797,2632.493,335.3695,434.44843,555.6531,3.2371194,3.3220747,256.67908,103.202126,0.842546,139.05145,5.330377,103.90402,10.38229,9.89216,5.5368595,3.1708224,1.8869239,900.3024,254.9847,990.3163,18.922112
6914,amiodarone,15 day,High,535.8696,11.014054,34.193405,68.563324,21.788969,42.259964,31.798037,182.58481,368.9475,40.599865,1.6896526,1.0409846,31.150475,45.054565,31.921577,40.42344,306.36243,2789.7021,236.8233,549.11005,431.8849,4.22027,3.4877794,226.98659,73.66337,0.6174371,135.8661,5.03387,103.28429,11.19914,9.648277,5.6533723,3.900764,1.9881958,1046.5834,233.06508,753.10815,20.483707
6915,triamterene,8 day,Low,682.4246,9.338063,39.613724,63.317497,22.7057,38.93046,21.867537,162.24883,194.83365,52.366898,2.5445192,0.841736,19.057997,51.35722,27.283527,40.89187,554.60986,2292.425,351.98996,420.10565,469.11902,1.6115054,2.1902945,291.48386,116.590576,0.8608494,139.60515,5.1648383,107.23677,9.510439,8.273611,5.901758,2.8964424,1.6976825,713.0371,245.59952,986.74493,14.219129
6916,lornoxicam,8 day,Low,584.0675,9.459686,33.751064,66.15817,22.67351,39.825855,26.978561,190.1703,269.9483,44.3639,2.5058064,0.9957477,22.80543,52.03237,32.82057,49.093735,436.05164,2620.1675,353.06866,413.29822,568.63025,3.025798,3.215246,265.66373,110.78926,0.8645786,139.5596,5.4586163,104.20671,10.2125,9.87569,5.571639,3.0265126,1.8575604,868.5572,261.16382,1028.2347,18.807661
6917,vitamin A,29 day,Low,577.5752,9.89895,33.898605,66.60703,22.40387,40.41898,27.33094,191.55898,287.98618,42.957367,2.3406663,1.0207268,24.012419,50.996662,33.197834,47.538136,426.05008,2636.1753,335.35184,433.68994,556.25287,3.2366786,3.3216639,257.26495,103.64373,0.84348416,139.04675,5.338854,103.916046,10.368341,9.874469,5.5340986,3.1696348,1.8898147,896.30865,254.83437,996.91254,18.926651
6918,disopyramide,15 day,Middle,564.54803,10.328578,34.026043,67.44422,22.154676,41.116833,28.79178,189.41833,318.25922,41.727463,2.1247783,1.0325115,26.453753,48.605736,32.844936,44.812664,386.23907,2675.6975,301.3498,473.27716,517.70886,3.6081076,3.3971486,247.5001,92.73439,0.78009397,137.93854,5.2112403,103.69169,10.673592,9.824165,5.58339,3.4262733,1.9326156,939.3885,246.54367,922.6481,19.437237
6919,simvastatin,15 day,Low,548.3382,10.705343,34.068005,67.99272,21.954123,41.72317,30.442095,185.60254,346.1135,41.365658,1.8913143,1.0326633,29.078047,46.621037,32.314373,42.430004,341.77493,2741.1199,267.10104,512.9824,471.8514,3.953115,3.4419174,237.45366,82.25442,0.6895932,136.82135,5.1117206,103.49214,10.958257,9.700258,5.6271753,3.6848307,1.9643223,997.6965,238.78157,833.49475,20.002062
6920,enalapril,8 day,Low,570.0029,10.15129,33.889095,67.06681,22.269142,40.774254,28.086578,190.92274,303.6151,42.097282,2.2429698,1.0262651,25.12099,49.574318,33.13223,45.95541,407.77902,2650.787,319.25143,455.3403,537.64355,3.4377627,3.3651724,252.3176,97.87794,0.8161368,138.45316,5.2720175,103.78895,10.524197,9.872439,5.5649967,3.3019905,1.9127338,914.94464,248.85365,962.94666,19.197239
6921,bromobenzene,29 day,Middle,774.4538,9.447056,44.3143,62.668556,22.49033,38.70714,16.714006,131.68578,144.54956,54.691017,2.133593,0.7364017,16.278624,49.085682,23.21862,33.089443,641.5478,2069.8354,327.7903,396.54254,369.93222,0.94249374,1.7955184,299.1302,112.735344,0.8651041,139.70532,4.886262,108.982895,9.029433,6.9217935,6.13254,2.9746592,1.624072,647.9191,235.76053,909.8129,11.28603
6922,disopyramide,8 day,Low,565.5052,10.301862,33.893093,67.38367,22.162289,41.038586,28.762419,189.69713,317.95724,41.704403,2.1429858,1.0279726,26.27636,48.77951,33.00562,44.879272,388.13205,2666.0715,304.69363,471.94974,520.19965,3.5878148,3.3921697,248.64873,93.24493,0.7839937,138.00119,5.216548,103.69217,10.670824,9.830836,5.5773053,3.4170136,1.9288135,938.4241,246.76236,922.7151,19.46247
6923,ethionamide,15 day,Low,754.38153,9.406907,43.17226,62.76482,22.559204,38.754807,17.945349,138.60074,156.51115,54.21882,2.2464688,0.7583791,16.923994,49.631123,24.014462,34.9421,622.0552,2122.1929,335.18906,402.99683,394.9787,1.0820879,1.8944832,296.8874,113.849236,0.86304253,139.69566,4.9703884,108.58991,9.139541,7.2520423,6.0772805,2.9563868,1.636441,667.62714,238.59193,924.8978,12.009815
6924,nitrosodiethylamine,29 day,Middle,805.2797,9.455034,45.799736,62.361073,22.463789,38.68382,15.237661,121.25317,131.17691,55.596535,2.0050125,0.7008121,15.443599,48.198235,21.742548,30.819242,665.64197,1973.2722,320.67288,389.65955,338.62564,0.76929116,1.671584,301.34818,111.688965,0.866845,139.74825,4.808943,109.56931,8.870522,6.522496,6.222122,3.0017297,1.5868455,628.79346,234.19765,883.9778,10.382578
6925,lornoxicam,15 day,Middle,581.27496,9.482264,33.79683,66.099075,22.653578,39.828243,26.857306,190.60571,270.65787,44.321938,2.4929895,0.9985751,22.750853,51.863674,32.811203,48.906475,436.28156,2628.186,352.5268,414.14917,567.49536,3.0402777,3.2105486,265.77054,110.478745,0.86231697,139.51175,5.462007,104.252106,10.200985,9.885047,5.5681243,3.0274963,1.8609368,867.0792,259.9806,1031.4861,18.778393
6926,nitrosodiethylamine,8 day,Low,802.3111,9.425295,45.69653,62.33117,22.432974,38.66315,15.1993685,122.033554,131.17209,55.62253,2.0191832,0.6998402,15.507413,48.43171,21.790207,31.092995,665.0228,2002.6077,318.6228,390.80338,341.62122,0.7767952,1.6568819,300.24753,111.41395,0.8679818,139.71918,4.830348,109.50478,8.868486,6.550386,6.2138734,2.9826784,1.6063334,627.29974,233.91728,888.66943,10.445581
6927,carbon tetrachloride,8 day,Middle,798.0196,9.438736,45.472248,62.297535,22.42768,38.554806,15.528718,122.7636,131.60738,55.8124,2.029385,0.7008532,15.616205,48.620804,22.09828,31.271692,663.86255,2000.0067,319.2176,389.86874,344.6658,0.7975216,1.6788443,300.32782,111.638916,0.86511225,139.65129,4.8326793,109.42875,8.890942,6.5945463,6.1975374,2.9879484,1.6095027,629.7013,233.39647,887.8471,10.607519
6928,ketoconazole,29 day,High,531.9378,11.078931,34.17175,68.641075,21.765455,42.41656,32.078037,182.34694,372.32855,40.702602,1.6516557,1.0402874,31.487465,44.664734,31.817041,40.05227,299.7978,2807.0554,231.38997,554.7408,425.45908,4.271554,3.483581,225.82193,72.289,0.6020171,135.69138,5.007553,103.24944,11.240358,9.601125,5.660804,3.9389343,1.9937447,1055.238,231.97499,743.9325,20.535145
6929,bromoethylamine,8 day,Low,802.9221,9.463805,45.688915,62.374477,22.445925,38.57559,15.398124,122.143875,131.19461,55.6262,2.028131,0.70055103,15.58051,48.231026,21.875322,31.025444,663.8627,1990.0948,321.04068,390.31934,342.60056,0.7871845,1.6717277,300.87424,110.98388,0.867397,139.69589,4.8234143,109.549126,8.883648,6.582725,6.215887,2.996924,1.594297,629.00885,233.84842,883.4964,10.552835
6930,phenylbutazone,29 day,Low,577.91174,9.900495,33.868584,66.70709,22.423697,40.475803,27.493649,191.54921,289.15335,42.870316,2.336159,1.0202986,24.129436,50.857586,33.195923,47.32693,424.4394,2624.0818,333.6591,437.43393,552.8895,3.246516,3.327749,256.78842,103.37529,0.84180933,138.98665,5.3235626,103.90949,10.388074,9.870817,5.5390053,3.1907983,1.8942608,902.05756,253.98204,991.8835,18.971298
6931,disopyramide,29 day,Low,565.07526,10.2960205,33.97102,67.36975,22.159006,41.02672,28.771103,189.45627,317.16016,41.80427,2.137085,1.0298694,26.343199,48.735847,32.949833,44.878025,387.81485,2674.4912,303.86526,471.57608,518.5124,3.5954056,3.394584,248.16359,93.45241,0.7820173,137.96356,5.222392,103.722916,10.650663,9.821323,5.5833135,3.4182444,1.9304057,937.6674,246.21957,928.32117,19.457712
6932,tamoxifen,8 day,High,549.1508,10.642121,34.15629,68.0862,21.975119,41.69733,30.245838,185.88939,344.7678,41.22056,1.8899562,1.0331494,28.972939,46.798782,32.42758,42.522594,345.57825,2733.2317,267.6449,511.03775,474.62616,3.923689,3.4318414,237.2431,83.178986,0.6968704,136.90714,5.1179905,103.46166,10.93936,9.708949,5.6178794,3.6808615,1.9611154,995.0352,239.56972,836.1538,19.966991
6933,carboplatin,15 day,Middle,808.19086,9.43107,45.901203,62.218548,22.444748,38.64096,15.122147,120.6504,128.45168,55.839043,1.9926814,0.6903919,15.217228,47.95987,21.641006,30.610561,670.0806,1964.9641,318.1261,389.61035,335.2232,0.7376885,1.6353407,301.7907,111.32913,0.8665433,139.72433,4.8064137,109.6483,8.849399,6.516222,6.2245116,2.9981976,1.586158,626.62006,233.37395,874.29767,10.342128
6934,WY-14643,8 day,Low,606.4908,9.057432,35.26898,64.315,22.874165,39.25524,25.543264,186.288,231.66188,49.222794,2.7966096,0.9202439,20.795092,53.23506,30.829855,47.237724,484.69965,2479.064,366.1708,419.93503,565.7602,2.357553,2.562828,282.8068,122.27395,0.87178904,139.69542,5.437909,105.50711,9.85327,9.50393,5.7047954,2.8855884,1.7938961,778.1623,254.79347,1045.8359,17.137604
6935,carbamazepine,29 day,Middle,664.1089,9.307178,38.780792,63.529945,22.745602,39.008305,22.832602,168.1402,204.7754,51.7354,2.6142044,0.86194664,19.553299,51.40795,28.14117,42.28845,535.3573,2331.6106,355.7511,423.6211,487.58478,1.7867367,2.2787836,290.7915,117.08596,0.8596776,139.57051,5.202587,106.91488,9.608099,8.575874,5.8567567,2.886376,1.7198968,724.3978,248.1656,1002.56836,14.837218
6936,allopurinol,15 day,High,787.8094,9.482879,45.088043,62.499485,22.509058,38.742073,16.025011,126.51575,137.41368,55.022495,2.0763144,0.71951985,15.832024,48.63384,22.424608,31.963936,654.6052,2032.7283,322.42667,392.96674,354.7596,0.8558679,1.7245654,298.89642,112.28027,0.8691717,139.68277,4.8590255,109.25901,8.940148,6.7443886,6.1742682,2.992551,1.6071694,639.7711,235.35501,893.3615,10.860066
6937,doxorubicin,15 day,Low,534.26447,11.009998,34.127052,68.55508,21.781923,42.288452,31.78257,182.67343,368.49707,40.73641,1.6969488,1.0381256,31.094452,45.022015,31.983679,40.320503,307.03824,2791.7124,237.74971,547.21246,433.0974,4.226088,3.484036,228.1033,73.79358,0.61762786,135.89233,5.0122714,103.27422,11.2025385,9.613462,5.6507354,3.900299,1.9881113,1045.7811,232.04045,756.0649,20.49683
6938,terbinafine,15 day,Low,570.92084,10.164297,34.007755,67.15485,22.235016,40.83771,28.040457,190.94511,305.74496,42.00098,2.2097569,1.0274993,25.30158,49.60988,33.06801,45.85599,406.64578,2659.371,315.48325,456.34204,535.9185,3.4477444,3.367472,251.0983,97.38474,0.81273425,138.41049,5.268695,103.7389,10.53484,9.876231,5.562871,3.3266587,1.9189742,919.88464,249.44481,954.6035,19.239338
6939,nitrofurazone,8 day,Middle,781.06366,9.465614,44.520203,62.677765,22.488733,38.85363,16.483545,131.80519,144.89594,54.67237,2.1420975,0.7333064,16.05594,48.882706,22.95455,32.82582,644.99664,2048.8137,327.56427,399.84305,365.35025,0.9093571,1.778193,298.5596,112.24139,0.86912185,139.7173,4.8790617,109.086555,9.013967,6.8464565,6.1544714,2.9659362,1.6163783,647.2744,236.3334,904.4976,11.124101
6940,monocrotaline,8 day,Low,574.5049,10.012175,33.91234,66.746056,22.390728,40.575245,27.662514,190.87491,292.77402,42.703804,2.3103347,1.0244558,24.385921,50.507874,33.162395,47.16904,419.28067,2631.446,330.68698,440.8764,548.44135,3.3106666,3.334216,256.81952,102.24684,0.83229506,138.84396,5.297864,103.90318,10.418806,9.843076,5.5401664,3.210134,1.892401,902.30054,253.15422,988.9534,18.969484
6941,promethazine,29 day,High,571.4324,10.13852,33.931976,67.059166,22.27649,40.73944,27.954224,191.14343,301.50146,42.164238,2.242569,1.0278779,25.025602,49.707764,33.108307,46.234623,409.36957,2642.66,320.4687,452.96732,540.16296,3.4165616,3.3568177,253.2348,98.61301,0.8182326,138.55157,5.274042,103.81947,10.497521,9.868046,5.551839,3.2912896,1.9080727,912.94916,250.12941,966.25854,19.118654
6942,disopyramide,15 day,Low,562.7746,10.3358755,34.09956,67.46292,22.191717,41.103733,28.821676,189.12535,318.7191,41.71874,2.1173477,1.0297309,26.498005,48.60091,32.8992,44.83578,386.66345,2673.2356,300.32327,474.2501,517.749,3.6034758,3.3986154,247.38863,92.89517,0.7781121,137.94592,5.202212,103.65885,10.665606,9.845502,5.5773864,3.4302797,1.925907,943.7812,246.48236,920.9736,19.44574
6943,enalapril,15 day,High,570.8102,10.159059,33.96587,67.113144,22.267239,40.82987,28.044708,190.6772,304.4326,42.0935,2.2140303,1.0297686,25.291283,49.6264,32.994358,46.05232,406.14514,2651.6226,316.58932,454.56616,536.1061,3.4497073,3.3612695,252.12888,97.63805,0.81201935,138.43826,5.263241,103.775085,10.531833,9.849965,5.5558505,3.3162374,1.9142567,917.5197,250.46902,958.9671,19.176271
6944,phenacetin,15 day,Middle,737.931,9.404549,42.403137,62.97151,22.573109,38.777676,18.87223,145.1141,165.71289,53.81346,2.2995403,0.77611417,17.462498,50.07984,24.83912,36.34042,607.1422,2173.5002,338.0387,407.34744,410.75345,1.1877546,1.9576397,295.88947,114.52699,0.8626485,139.68228,5.016975,108.275986,9.218975,7.4645147,6.0372534,2.9394798,1.6561658,678.6666,241.13225,939.3701,12.508375
6945,enalapril,15 day,High,571.3589,10.140816,33.841614,67.105194,22.253695,40.773476,27.931023,191.01215,302.8872,41.93,2.23137,1.0279447,25.074411,49.616707,33.069336,46.084652,408.43716,2652.8748,318.92065,454.3106,539.20917,3.4350379,3.3614442,252.80173,97.977135,0.81906545,138.49872,5.2697377,103.7585,10.52115,9.879226,5.5594645,3.30094,1.9114888,911.92633,250.50363,961.63086,19.146988
6946,fluoxetine hydrochloride,29 day,High,579.3342,9.097409,33.90092,65.24424,22.944223,39.157932,26.309395,190.67973,247.2151,46.48645,2.7108204,0.9490951,21.580282,52.917377,32.440796,49.744087,457.18704,2598.0862,366.6324,408.7791,585.45105,2.736662,2.9137943,276.36404,119.19953,0.8885915,139.89543,5.5103135,104.80082,10.020038,9.76587,5.648463,2.8788185,1.8319161,818.2834,262.00708,1075.2283,18.455774
6947,chlorpheniramine,29 day,Low,582.9904,9.628886,33.70849,66.25829,22.591242,40.016895,26.964413,190.50662,274.41516,43.769295,2.4682474,1.0023333,23.045765,51.816505,33.0381,48.76424,434.4586,2633.029,350.5667,416.35657,567.493,3.082372,3.243322,264.65286,108.86623,0.8598793,139.51776,5.4058847,104.155396,10.25385,9.844245,5.553362,3.0574145,1.8669822,873.47296,259.19696,1020.5206,18.811663
6948,danazol,15 day,Low,550.4544,10.587537,34.081852,68.120834,22.003172,41.651543,30.090258,186.26237,343.29953,41.230576,1.9035312,1.0344406,28.862406,46.75963,32.356213,42.588936,348.48468,2723.0547,268.89456,508.821,476.3882,3.9237342,3.4196174,238.46613,84.02408,0.7021076,136.98929,5.1229887,103.48127,10.927881,9.71758,5.6165905,3.6726515,1.9605671,991.9248,240.03874,841.41785,19.997417
6949,omeprazole,29 day,High,575.1519,9.9962635,33.871372,66.83133,22.374073,40.571114,27.701965,190.76462,295.50922,42.46711,2.2865145,1.0223358,24.58921,50.40154,33.095543,46.8584,417.23016,2647.0469,327.52768,443.558,545.6684,3.333265,3.3328776,255.40514,101.04,0.8290714,138.75856,5.3055916,103.88094,10.446086,9.86921,5.5515566,3.2335174,1.8993347,904.66754,253.23334,977.88007,19.072308
